City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Umm Lajj,SA,2022-01-30 18:21:23,25.0213,37.2685,66.34,59,93,11.83,overcast clouds
60,Codrington,AU,2022-01-30 18:21:24,-38.2667,141.9667,61.38,98,9,7.14,clear sky
61,Vysokogornyy,RU,2022-01-30 18:21:24,50.1167,139.15,-22.68,100,98,3.69,overcast clouds
62,Haines Junction,CA,2022-01-30 18:21:25,60.7522,-137.5108,8.55,66,98,10.36,overcast clouds
63,Rawah,IQ,2022-01-30 18:21:26,34.4816,41.9093,49.1,53,12,9.24,few clouds
64,Muros,ES,2022-01-30 18:21:26,42.7762,-9.0603,57.7,60,0,3.27,clear sky
65,Upernavik,GL,2022-01-30 18:21:27,72.7868,-56.1549,-3.01,71,100,9.6,overcast clouds
66,Baramati,IN,2022-01-30 18:21:28,18.15,74.5833,70.72,26,1,3.49,clear sky
67,Myitkyina,MM,2022-01-30 18:21:28,25.3833,97.4,53.53,77,34,2.15,scattered clouds
68,Chokurdakh,RU,2022-01-30 18:21:29,70.6333,147.9167,-29.83,89,33,1.07,scattered clouds
69,Mayo,US,2022-01-30 18:21:30,38.8876,-76.5119,32.34,42,40,3.0,scattered clouds
70,Barrow,US,2022-01-30 18:19:14,71.2906,-156.7887,-11.18,77,40,10.36,scattered clouds
71,Eureka,US,2022-01-30 18:19:55,40.8021,-124.1637,49.93,83,91,5.01,overcast clouds
72,Provideniya,RU,2022-01-30 18:21:32,64.3833,-173.3,5.32,80,1,7.87,clear sky
73,Tanout,NE,2022-01-30 18:21:33,14.9709,8.8879,67.15,12,16,14.76,few clouds
74,Bambous Virieux,MU,2022-01-30 18:21:33,-20.3428,57.7575,80.85,83,75,8.05,broken clouds
75,Torbay,CA,2022-01-30 18:17:49,47.6666,-52.7314,47.17,85,100,28.77,overcast clouds
76,Gushikawa,JP,2022-01-30 18:21:35,26.3544,127.8686,58.23,58,100,17.27,overcast clouds
77,Lebu,CL,2022-01-30 18:21:35,-37.6167,-73.65,63.14,66,55,16.91,broken clouds
78,Ribeira Grande,PT,2022-01-30 18:21:36,38.5167,-28.7,57.6,77,40,12.66,scattered clouds
79,Avarua,CK,2022-01-30 18:17:57,-21.2078,-159.775,78.85,89,75,9.22,moderate rain
80,Kaeo,NZ,2022-01-30 18:21:37,-35.1,173.7833,63.32,95,100,11.68,overcast clouds
81,Ust-Karsk,RU,2022-01-30 18:21:38,52.7011,118.8077,-20.18,100,31,1.83,scattered clouds
82,New Norfolk,AU,2022-01-30 18:21:38,-42.7826,147.0587,56.71,74,3,1.99,clear sky
83,Kurali,IN,2022-01-30 18:21:39,30.8315,76.5785,51.1,73,4,5.75,clear sky
84,Tiksi,RU,2022-01-30 18:21:40,71.6872,128.8694,-17.25,100,82,4.14,broken clouds
85,Gualaceo,EC,2022-01-30 18:21:41,-2.9,-78.7833,69.46,65,100,2.73,light rain
86,Jiwani,PK,2022-01-30 18:21:41,25.05,61.7417,72.72,75,0,17.27,clear sky
87,Lensk,RU,2022-01-30 18:21:42,60.7253,114.9278,-18.33,100,65,3.78,broken clouds
88,Ostersund,SE,2022-01-30 18:21:43,63.1792,14.6357,27.05,80,0,14.97,clear sky
